"LBP (SNR=[1, 2, 3, 4])","RBP (SNR=[1, 2, 3, 4])","RRBP (SNR=[1, 2, 3, 4])","iLBP (SNR=[1, 2, 3, 4])","tanh (SNR=[1, 2, 3, 4])"
-2.0679776708439825,-3.850432109547245,-4.989973208959472,-3.127858433973706,-1.71650801635134
-3.158341286827703,-4.944129386128976,-6.545413158337161,-2.993223120472659,-2.283520127564206
-4.318997393256329,-5.484715317983549,-6.612359947967774,-3.728462033373572,-2.971158596575152
-5.271585445525641,-5.777727341631683,-6.612359947967774,-4.546966986405783,-3.7169374019283663
-6.010299956639812,-5.892200644561817,-6.612359947967774,-5.311329952303793,-4.427195686965307
-6.515449934959718,-5.892200644561817,-6.612359947967774,-5.906211359004632,-5.084086170800731
-6.650148508857174,-5.899149504517145,-6.612359947967774,-6.349118513193193,-5.642323171345217
-6.650148508857174,-5.899149504517145,-6.612359947967774,-6.9925711896793805,-6.123339469948404
-6.737298684576074,-5.899149504517145,-6.612359947967774,-7.390511198351418,-6.515449934959718
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-6.846443154001142
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-6.913389943631755
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-7.089481202687437
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
-6.7884512070234555,-5.899149504517145,-6.612359947967774,-Inf,-Inf
