List-RBP,Local-RBP,RBP
-0.45714540847018653,-0.4636339315696277,-0.4541181099869008
-1.5773306657654058,-1.648572120622219,-1.5554550966313017
-3.709269960975732,-3.533178701920215,-3.232148706256152
-Inf,-Inf,-Inf
