R. decay = 0.1,R. decay = 0.2,R. decay = 0.3,R. decay = 0.4,R. decay = 0.5,R. decay = 0.6,R. decay = 0.7,R. decay = 0.8,R. decay = 0.9,R. decay = 1.0
-0.20006743864472787,-0.21650957194899326,-0.21581190998064234,-0.22854458198734307,-0.2357829909112624,-0.2365135116586184,-0.2307034653819874,-0.2242587463972577,-0.22354853449425077,-0.19805525983944272
-1.1907560210979433,-1.2468719630768748,-1.2394479449976679,-1.3201038766112982,-1.3201038766112982,-1.3570874428644684,-1.3475421249582378,-1.3570874428644684,-1.3475421249582378,-1.3382020987040946
-3.010299956639812,-3.010299956639812,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-3.010299956639812,-2.4082399653118496
-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-3.010299956639812,-2.056057447200487
