Flooding (FAST),LBP (FAST),List-RBP 0.8 (FAST),Local-RBP 0.8 (FAST),RBP 0.8 (FAST)
-0.1652019166255551,-0.19872495076921862,-0.11820535394933156,-0.1363983587753506,-0.1434221423023131
-0.8376970254299522,-0.9579908569924886,-0.7922899136554484,-0.8040139122273796,-0.7559936243085263
-2.1803532606981766,-2.430516360023007,-2.2041199826559263,-2.196052360907893,-1.9932666173410325
-4.086020670578208,-4.505149978319375,-4.453997455873194,-4.262111929633301,-3.6158482758135126
