Flooding (FAST),LBP (FAST),List-RBP (FAST),Local-RBP (FAST),RBP (FAST)
-0.13408211604816972,-0.16470586347978766,-0.1808675230222133,-0.16470586347978766,-0.17473620497071518
-0.7212463990471711,-0.8221029400810563,-0.9346070384380086,-0.8913081564438369,-0.9381236121608455
-2.062670209255456,-2.317629257483443,-2.5320221247202017,-2.5320221247202017,-2.500828604537267
-4.028028723600227,-4.391206626012894,-4.274701056941737,-4.660051938306661,-4.359021942641578
-5.463757293164096,-5.5509074688798785,-2.2063842060580274,-5.226396377367277,-4.892366121601559
