Flooding (FAST),LBP (FAST),List-RBP (FAST),RBP (FAST)
-0.0008278140769982885,-0.10239975230527651,-0.4580820830656367,-0.4545769015647583
-0.03428947451808067,-0.6236226726789742,-1.5575937301287828,-1.5350647340356836
-0.2829620686067317,-1.7564775179317373,-3.387050666241954,-3.269937267145604
-0.9429314857245435,-3.3475421249582036,-Inf,-Inf
-1.9907682721085551,-4.533178701920544,-Inf,-Inf
-3.1973865999969715,-4.709269960976226,-Inf,-Inf
