Flooding (FAST),LBP (FAST),Local-RBP (FAST)
-0.05030511831139577,-0.06739941549951803,-0.07218068744550023
-0.4092835248413634,-0.47820835036087656,-0.5125964604877704
-1.4145392704914996,-1.569642712495194,-1.750801642608886
-3.054900870000572,-3.4520715348365427,-4.182930683586264
-4.749275122647615,-5.204119982656937,-6.204119982672366
