Flooding (FAST),LBP (FAST),Local-RBP (MSUM)
-0.05030511831139577,-0.06739941549951803,-0.045757490560675115
-0.4092835248413634,-0.47820835036087656,-0.4741456969563692
-1.4145392704914996,-1.569642712495194,-1.718398556174346
-3.054900870000572,-3.4520715348365427,-4.090176630348913
-4.749275122647615,-5.204119982656937,-Inf
