Flooding (FAST),LBP (FAST),List-RBP (FAST),RBP (FAST)
-0.05030511831139577,-0.06739941549951803,-0.06898733127914992,-0.07058107428570728
-0.4092835248413634,-0.47820835036087656,-0.526969461382492,-0.5237844692413617
-1.4145392704914996,-1.569642712495194,-1.7424714145924693,-1.7616402135914775
-3.054900870000572,-3.4520715348365427,-4.274701056941737,-4.057991946977597
-4.749275122647615,-5.204119982656937,-5.80617997396947,-6.028028723616685
