Flooding (FAST),LBP (FAST),List-RBP (FAST),RBP (FAST)
-0.028028723600243537,-0.04275198042094989,-0.04275198042094989,-0.04275198042094989
-0.4223646080034558,-0.5183782440536612,-0.5757310526056132,-0.5656307257012875
-1.4406919890929875,-1.5413621509743498,-1.7342979666777618,-1.7269987279362613
-3.0280287236002272,-3.9030899869917985,-Inf,-4.505149978319375
-4.602059991327046,-5.028028723601255,-Inf,-Inf
