Flooding (FAST),LBP (FAST),List-RBP_0.8 (FAST),Local-RBP_0.8 (FAST),RBP_0.8 (FAST)
-0.12043823538162352,-0.1434221423023131,-0.1578199630029556,-0.14816857732677477,-0.16769071702924984
-0.7288120686997306,-0.8171753582853504,-0.9196892488114051,-0.8592367032860617,-0.9168782714775768
-2.069783471707243,-2.3078694201942898,-2.539008245580868,-2.550907468880582,-2.5051499783198996
-3.9610819339697607,-4.408239965312244,-4.505149978319375,-4.630088714928189,-5.107209969645795
-6.107209969633451,-5.630088714934361,-4.903089986992955,-5.505149978320918,-4.764787288825271
