1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	0.99984375	0.999165625
1.0	1.0	0.940625	0.78978125	0.647971875
0.90625	0.78125	0.428125	0.19203125	0.10410624999999996
0.84375	0.453125	0.13749999999999996	0.037843749999999954	0.011982812499999995
0.6875	0.359375	0.09687500000000004	0.011968749999999972	0.0010609375000000254
0.59375	0.3125	0.06874999999999998	0.007156249999999975	0.0004999999999999449
0.5625	0.25	0.05312499999999998	0.005593749999999953	0.0003374999999999906
0.5625	0.21875	0.043749999999999956	0.004406249999999945	0.00024687499999997975
0.53125	0.203125	0.03749999999999998	0.0036874999999999547	0.00017656249999997708
